f,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
0,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
1,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
2,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
3,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
4,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
5,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
6,0.0006162188809465122,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
7,0.0006162188809465122,0.0003697313285679073,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
8,0.0006162188809465122,0.0003697313285679073,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487,0.00024648755237860487
9,0.0006162188809465122,0.0004929751047572097,0.00024648755237860487,0.0004929751047572097,0.00024648755237860487,0.00024648755237860487
10,0.0006162188809465122,0.0004929751047572097,0.00024648755237860487,0.0006162188809465122,0.00024648755237860487,0.00024648755237860487
11,0.0006162188809465122,0.0004929751047572097,0.0003697313285679073,0.0006162188809465122,0.00024648755237860487,0.00024648755237860487
12,0.00024648755237860487,0.0004929751047572097,0.0003697313285679073,0.0004929751047572097,0.00024648755237860487,0.00024648755237860487
13,0.00024648755237860487,0.0004929751047572097,0.0003697313285679073,0.0004929751047572097,0.00024648755237860487,0.00024648755237860487
14,0.0006162188809465122,0.0004929751047572097,0.0003697313285679073,0.0008627064333251171,0.00024648755237860487,0.00024648755237860487
15,0.0006162188809465122,0.0004929751047572097,0.0003697313285679073,0.0004929751047572097,0.00024648755237860487,0.00024648755237860487
16,0.0006162188809465122,0.0004929751047572097,0.0003697313285679073,0.0004929751047572097,0.00024648755237860487,0.00024648755237860487
17,0.0006162188809465122,0.0004929751047572097,0.0003697313285679073,0.0004929751047572097,0.0003697313285679073,0.00024648755237860487
18,0.0007394626571358146,0.0004929751047572097,0.0003697313285679073,0.0004929751047572097,0.0003697313285679073,0.00024648755237860487
19,0.0007394626571358146,0.0004929751047572097,0.0004929751047572097,0.0004929751047572097,0.0003697313285679073,0.00024648755237860487
20,0.0007394626571358146,0.0004929751047572097,0.0004929751047572097,0.0004929751047572097,0.001109193985703722,0.0003697313285679073
21,0.0007394626571358146,0.0004929751047572097,0.0004929751047572097,0.001109193985703722,0.001109193985703722,0.0003697313285679073
22,0.0007394626571358146,0.0013556815380823268,0.0004929751047572097,0.001109193985703722,0.001109193985703722,0.0003697313285679073
23,0.0007394626571358146,0.0013556815380823268,0.0004929751047572097,0.0012324377618930244,0.001109193985703722,0.0003697313285679073
24,0.001109193985703722,0.001971900419028839,0.0004929751047572097,0.0016021690904609318,0.001109193985703722,0.0007394626571358146
25,0.0016021690904609318,0.0032043381809218636,0.0004929751047572097,0.0017254128666502342,0.001109193985703722,0.0007394626571358146
26,0.0016021690904609318,0.002464875523786049,0.0004929751047572097,0.011831402514173034,0.001109193985703722,0.0009859502095144195
27,0.0025881192999753513,0.002464875523786049,0.0004929751047572097,0.005669213704707912,0.001109193985703722,0.0009859502095144195
28,0.0025881192999753513,0.002218387971407444,0.0004929751047572097,0.0017254128666502342,0.0016021690904609318,0.001109193985703722
29,0.007641114123736751,0.008380576780872565,0.0009859502095144195,0.0014789253142716292,0.0016021690904609318,0.0017254128666502342
30,0.007271382795168844,0.006778407690411634,0.0007394626571358146,0.001109193985703722,0.0016021690904609318,0.0025881192999753513
31,0.00406704461424698,0.003943800838057678,0.0007394626571358146,0.0009859502095144195,0.0016021690904609318,0.0025881192999753513
32,0.0017254128666502342,0.002218387971407444,0.0009859502095144195,0.0008627064333251171,0.0016021690904609318,0.0023416317475967465
33,0.001109193985703722,0.0017254128666502342,0.0009859502095144195,0.0008627064333251171,0.0016021690904609318,0.002464875523786049
34,0.0009859502095144195,0.0014789253142716292,0.0009859502095144195,0.0006162188809465122,0.0016021690904609318,0.004436775942814888
35,0.0008627064333251171,0.0009859502095144195,0.0009859502095144195,0.0006162188809465122,0.001971900419028839,0.005299482376140005
